gene,protein_accession,aro_index,count,rpob_Normalization,rpob_count,sample,SampleType
oqxA,AAP43109.1,ARO:3003922,1,0.00024997971318969697,13007,SRR12901034_arg_full,Secondary
oqxB,AAP43110.2,ARO:3003923,8,0.000745895699869543,13007,SRR12901034_arg_full,Secondary
patB,AAK76136.1,ARO:3000025,1,0.0001663701996101209,13007,SRR12901034_arg_full,Secondary
qacH,AAZ42322.1,ARO:3003836,5,,13007,SRR12901034_arg_full,Secondary
rosA,AAC60781.1,ARO:3003048,1,0.00023842347340720488,13007,SRR12901034_arg_full,Secondary
rosB,AAC60780.1,ARO:3003049,9,0.0015637028867610831,13007,SRR12901034_arg_full,Secondary
rphB,APB03222.1,ARO:3003992,2,0.00022145095496126825,13007,SRR12901034_arg_full,Secondary
sdiA,AAL20862.1,ARO:3000826,1,0.0004066060065160216,13007,SRR12901034_arg_full,Secondary
smeB,AAD51345.1,ARO:3003052,1,9.33257595908202e-05,13007,SRR12901034_arg_full,Secondary
smeE,CAC14595.1,ARO:3003056,3,0.0002823978316148738,13007,SRR12901034_arg_full,Secondary
smeF,CAC14596.1,ARO:3003057,1,0.00020983307830912463,13007,SRR12901034_arg_full,Secondary
smeR,AAD51348.1,ARO:3003066,1,0.0004260523807407009,13007,SRR12901034_arg_full,Secondary
sul1,AEJ33969.1,ARO:3000410,38,0.013298920741691877,13007,SRR12901034_arg_full,Secondary
sul2,AAL59753.1,ARO:3000412,4,0.0014410595230935472,13007,SRR12901034_arg_full,Secondary
tap,CAA03986.1,ARO:3000343,1,0.00023900499407405172,13007,SRR12901034_arg_full,Secondary
tet(39),AAW66497.1,ARO:3000566,1,0.0002474546655817202,13007,SRR12901034_arg_full,Secondary
